datetime,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
2021-05-25 15:00:47.928831,53.0,Bolivia,"352,170","+2,517","14,024 ",+59,"283,673","+1,663","54,473",200,"29,807","1,187","1,395,226","118,089","11,815,082 ",South America,34,842,8.0,213,5.0,"4,610"
2021-05-25 15:00:47.928831,54.0,Georgia,"339,315","+1,354","4,654 ",+15,"320,777",+821,"13,884",,"85,206","1,169","4,791,817","1,203,277","3,982,305 ",Asia,12,856,1.0,340,4.0,"3,486"
2021-05-25 15:00:47.928831,55.0,Tunisia,"336,414",,"12,273  ",,"297,123",,"27,018",417,"28,201","1,029","1,436,240","120,398","11,929,063 ",Africa,35,972,8.0,,,"2,265"
2021-05-25 15:00:47.928831,56.0,Paraguay,"335,691",,"8,474 ",,"277,128",,"50,089",566,"46,554","1,175","1,244,572","172,600","7,210,739 ",South America,21,851,6.0,,,"6,946"
2021-05-25 15:00:47.928831,57.0,Azerbaijan,"332,894",+284,"4,877 ",+10,"321,677",+545,"6,340",,"32,570",477,"3,468,615","339,367","10,220,831 ",Asia,31,"2,096",3.0,28,1.0,620
2021-05-25 15:00:47.928831,58.0,Palestine,"305,777",,"3,470 ",,"298,502",,"3,805",46,"58,726",666,"1,804,900","346,638","5,206,876 ",Asia,17,"1,501",3.0,,,731
2021-05-25 15:00:47.928831,59.0,Costa Rica,"304,529",,"3,849 ",,"230,635",,"70,045",534,"59,297",749,"1,177,571","229,292","5,135,678 ",North America,17,"1,334",4.0,,,"13,639"
2021-05-25 15:00:47.928831,60.0,Kuwait,"300,455",,"1,741 ",,"286,199",,"12,515",145,"69,439",402,"2,535,029","585,877","4,326,898 ",Asia,14,"2,485",2.0,,,"2,892"
2021-05-25 15:00:47.928831,61.0,Dominican Republic,"284,567",,"3,610 ",,"236,771",,"44,186",324,"26,000",330,"1,517,163","138,616","10,945,075 ",North America,38,"3,032",7.0,,,"4,037"
2021-05-25 15:00:47.928831,62.0,Denmark,"275,207",+794,"2,510 ",+1,"259,313","+1,129","13,384",20,"47,364",432,"51,705,750","8,898,742","5,810,456 ",Europe,21,"2,315",0.0,137,0.2,"2,303"
2021-05-25 15:00:47.928831,63.0,Lithuania,"271,682",+537,"4,209 ",+6,"249,640","+1,821","17,833",150,"101,067","1,566","3,253,207","1,210,203","2,688,150 ",Europe,10,639,1.0,200,2.0,"6,634"
2021-05-25 15:00:47.928831,64.0,Ethiopia,"269,500",,"4,084 ",,"230,784",,"34,632",485,"2,294",35,"2,691,240","22,905","117,494,696 ",Africa,436,"28,770",44.0,,,295
